t,M,central_I,tau
0.0,2.2600000000000002,0.9275547719487158,0.05408608
0.25,104.81368923020489,1.0,8.838727560036775
0.5,120.3037148213681,1.0,11.628387039856852
0.75,126.18172207492407,1.0,12.787461588634704
1.0,130.74801651982568,1.0,13.72603505909489
1.25,134.41305684023132,1.0,14.503495879308206
1.5,137.4219749008222,1.0,15.157839348513765
1.75,139.93857012961783,1.0,15.716242727937574
2.0,142.07644040866361,1.0,16.198571935357236
2.25,143.9168023887533,1.0,16.619636807842774
2.5,145.51914461051672,1.0,16.990657158541183
2.75,146.92798675613636,1.0,17.32026663376911
3.0,148.17728608025573,1.0,17.61520648808796
3.25,149.2933889129108,1.0,17.880812778481317
3.5,150.29705204637142,1.0,18.121363083063745
3.75,151.20485577709172,1.0,18.340326728456887
4.0,152.03021022256013,1.0,18.54054785625266
4.25,152.7840843541353,1.0,18.724381145545227
4.5,153.47554253471262,1.0,18.893793725059506
4.75,154.11214516635522,1.0,19.050442630220598
5.0,154.70025190323986,1.0,19.195734351140697
5.25,155.2452539851604,1.0,19.330871107933568
5.5,155.7517543110293,1.0,19.456887176770586
5.75,156.2237084952095,1.0,19.57467767679696
6.0,156.66453645211914,1.0,19.68502158540589
6.25,157.07721147607134,1.0,19.78860029207875
6.5,157.46433196127686,1.0,19.886012672008956
6.75,157.82817960335777,1.0,19.977787421527808
7.0,158.17076698012517,1.0,20.064393221664844
7.25,158.4938767187918,1.0,20.14624716588126
7.5,158.79909394612326,1.0,20.223721790487748
7.75,159.08783333669783,1.0,20.297150972611956
8.0,159.3613617870539,1.0,20.36683490449943
8.25,159.62081752502394,1.0,20.43304430988559
8.5,159.867226296085,1.0,20.49602403488292
8.75,160.10151513919465,1.0,20.55599611989262
9.0,160.32452416390998,1.0,20.613162438707327
9.25,160.537016661702,1.0,20.667706974911674
9.5,160.73968782215022,1.0,20.719797792929846
9.75,160.9331722753053,1.0,20.76958875087448
10.0,161.11805064206555,1.0,20.817220994159364
10.25,161.2948552427328,1.0,20.862824262219306
10.5,161.4640750883393,1.0,20.906518035306302
