t,M
0.0,150.0
1.0,149.99995555555554
2.0,149.99991111108477
3.0,149.99986666658765
4.0,149.99982222206418
5.0,149.9997777775144
6.0,149.99973333293826
7.0,149.99968888833578
8.0,149.99964444370698
9.0,149.99959999905184
10.0,149.99955555437035
11.0,149.99951110966254
12.0,149.99946666492838
13.0,149.99942222016787
14.0,149.99937777538105
15.0,149.99933333056788
16.0,149.99928888572836
17.0,149.99924444086253
18.0,149.99919999597034
19.0,149.9991555510518
20.0,149.99911110610694
21.0,149.99906666113574
22.0,149.9990222161382
23.0,149.9989777711143
24.0,149.9989333260641
25.0,149.99888888098755
26.0,149.99884443588465
27.0,149.99879999075543
28.0,149.99875554559986
29.0,149.99871110041795
30.0,149.9986666552097
31.0,149.9986222099751
32.0,149.99857776471418
33.0,149.9985333194269
34.0,149.99848887411332
35.0,149.99844442877338
36.0,149.9983999834071
37.0,149.9983555380145
38.0,149.99831109259554
39.0,149.99826664715025
40.0,149.9982222016786
41.0,149.99817775618064
42.0,149.99813331065633
43.0,149.99808886510567
44.0,149.99804441952867
45.0,149.99799997392535
46.0,149.99795552829568
47.0,149.99791108263966
48.0,149.99786663695733
49.0,149.99782219124864
50.0,149.99777774551362
51.0,149.99773329975224
52.0,149.99768885396455
53.0,149.9976444081505
54.0,149.99759996231012
55.0,149.99755551644338
56.0,149.99751107055033
57.0,149.99746662463093
58.0,149.99742217868518
59.0,149.9973777327131
60.0,149.99733328671468
61.0,149.99728884068992
62.0,149.9972443946388
63.0,149.99719994856136
64.0,149.9971555024576
65.0,149.99711105632747
66.0,149.997066610171
67.0,149.9970221639882
68.0,149.99697771777906
69.0,149.99693327154358
70.0,149.99688882528176
71.0,149.9968443789936
72.0,149.9967999326791
73.0,149.99675548633826
74.0,149.99671103997107
75.0,149.99666659357754
76.0,149.9966221471577
77.0,149.9965777007115
78.0,149.99653325423895
79.0,149.99648880774006
80.0,149.99644436121483
81.0,149.99639991466327
82.0,149.99635546808537
83.0,149.99631102148112
84.0,149.99626657485052
85.0,149.9962221281936
86.0,149.99617768151035
87.0,149.99613323480074
88.0,149.99608878806478
89.0,149.99604434130248
90.0,149.99599989451386
91.0,149.9959554476989
92.0,149.99591100085757
93.0,149.9958665539899
94.0,149.9958221070959
95.0,149.99577766017558
96.0,149.9957332132289
97.0,149.99568876625588
98.0,149.9956443192565
99.0,149.9955998722308
100.0,149.99555542517876
101.0,149.99551097810038
102.0,149.99546653099566
103.0,149.99542208386458
104.0,149.99537763670716
105.0,149.99533318952342
106.0,149.99528874231333
107.0,149.9952442950769
108.0,149.99519984781412
109.0,149.995155400525
110.0,149.99511095320955
111.0,149.99506650586775
112.0,149.99502205849961
113.0,149.99497761110513
114.0,149.9949331636843
115.0,149.99488871623714
116.0,149.99484426876364
117.0,149.9947998212638
118.0,149.9947553737376
119.0,149.99471092618506
120.0,149.99466647860618
121.0,149.99462203100097
122.0,149.99457758336942
123.0,149.99453313571152
124.0,149.99448868802727
125.0,149.99444424031668
126.0,149.99439979257974
127.0,149.99435534481648
128.0,149.99431089702688
129.0,149.99426644921093
130.0,149.99422200136863
131.0,149.99417755349998
132.0,149.994133105605
133.0,149.99408865768365
134.0,149.994044209736
135.0,149.99399976176198
136.0,149.99395531376163
137.0,149.99391086573493
138.0,149.9938664176819
139.0,149.9938219696025
140.0,149.99377752149678
141.0,149.99373307336472
142.0,149.99368862520632
143.0,149.99364417702157
144.0,149.99359972881047
145.0,149.99355528057302
146.0,149.99351083230923
147.0,149.9934663840191
148.0,149.99342193570263
149.0,149.99337748735982
150.0,149.99333303899067
151.0,149.99328859059517
152.0,149.99324414217332
153.0,149.99319969372513
154.0,149.9931552452506
155.0,149.9931107967497
156.0,149.9930663482225
157.0,149.99302189966895
158.0,149.99297745108905
159.0,149.9929330024828
160.0,149.9928885538502
161.0,149.99284410519127
162.0,149.99279965650598
163.0,149.99275520779435
164.0,149.9927107590564
165.0,149.9926663102921
166.0,149.99262186150145
167.0,149.99257741268445
168.0,149.99253296384111
169.0,149.99248851497143
170.0,149.9924440660754
171.0,149.992399617153
172.0,149.99235516820428
173.0,149.9923107192292
174.0,149.99226627022782
175.0,149.99222182120008
176.0,149.992177372146
177.0,149.99213292306555
178.0,149.99208847395877
179.0,149.99204402482565
180.0,149.99199957566617
181.0,149.99195512648035
182.0,149.99191067726818
183.0,149.99186622802966
184.0,149.9918217787648
185.0,149.99177732947362
186.0,149.9917328801561
187.0,149.99168843081222
188.0,149.991643981442
189.0,149.99159953204543
190.0,149.9915550826225
191.0,149.99151063317325
192.0,149.99146618369764
193.0,149.99142173419568
194.0,149.99137728466738
195.0,149.99133283511273
196.0,149.99128838553173
197.0,149.9912439359244
198.0,149.9911994862907
199.0,149.9911550366307
200.0,149.99111058694433
201.0,149.99106613723163
202.0,149.99102168749258
203.0,149.99097723772718
204.0,149.99093278793544
205.0,149.99088833811734
206.0,149.9908438882729
207.0,149.99079943840212
208.0,149.990754988505
209.0,149.9907105385815
210.0,149.99066608863168
211.0,149.9906216386555
212.0,149.990577188653
213.0,149.99053273862413
214.0,149.9904882885689
215.0,149.99044383848735
216.0,149.99039938837944
217.0,149.9903549382452
218.0,149.9903104880846
219.0,149.99026603789767
220.0,149.9902215876844
221.0,149.9901771374448
222.0,149.99013268717883
223.0,149.99008823688652
224.0,149.99004378656787
225.0,149.98999933622287
226.0,149.98995488585152
227.0,149.98991043545382
228.0,149.98986598502978
229.0,149.9898215345794
230.0,149.98977708410266
231.0,149.98973263359957
232.0,149.98968818307014
233.0,149.98964373251437
234.0,149.98959928193224
235.0,149.98955483132377
236.0,149.98951038068896
237.0,149.9894659300278
238.0,149.98942147934028
239.0,149.98937702862642
240.0,149.98933257788622
241.0,149.98928812711966
242.0,149.98924367632677
243.0,149.98919922550752
244.0,149.98915477466193
245.0,149.98911032379
246.0,149.9890658728917
247.0,149.98902142196707
248.0,149.9889769710161
249.0,149.98893252003876
250.0,149.98888806903508
251.0,149.98884361800506
252.0,149.9887991669487
253.0,149.98875471586598
254.0,149.98871026475692
255.0,149.9886658136215
256.0,149.98862136245975
257.0,149.98857691127165
258.0,149.9885324600572
259.0,149.9884880088164
260.0,149.98844355754926
261.0,149.98839910625577
262.0,149.98835465493593
263.0,149.98831020358975
264.0,149.98826575221722
265.0,149.98822130081834
266.0,149.9881768493931
267.0,149.98813239794154
268.0,149.98808794646362
269.0,149.98804349495936
270.0,149.98799904342872
271.0,149.98795459187173
272.0,149.9879101402884
273.0,149.9878656886787
274.0,149.98782123704268
275.0,149.9877767853803
276.0,149.98773233369158
277.0,149.9876878819765
278.0,149.9876434302351
279.0,149.98759897846733
280.0,149.98755452667322
281.0,149.98751007485276
282.0,149.98746562300596
283.0,149.9874211711328
284.0,149.9873767192333
285.0,149.98733226730747
286.0,149.98728781535527
287.0,149.98724336337673
288.0,149.98719891137185
289.0,149.98715445934062
290.0,149.987110007283
291.0,149.98706555519905
292.0,149.98702110308875
293.0,149.9869766509521
294.0,149.9869321987891
295.0,149.98688774659976
296.0,149.98684329438407
297.0,149.98679884214204
298.0,149.98675438987365
299.0,149.98670993757892
300.0,149.98666548525784
301.0,149.98662103291042
302.0,149.98657658053665
303.0,149.98653212813653
304.0,149.98648767571004
305.0,149.9864432232572
306.0,149.986398770778
307.0,149.98635431827248
308.0,149.9863098657406
309.0,149.98626541318237
310.0,149.9862209605978
311.0,149.98617650798687
312.0,149.9861320553496
313.0,149.98608760268598
314.0,149.98604314999602
315.0,149.98599869727968
316.0,149.985954244537
317.0,149.98590979176797
318.0,149.9858653389726
319.0,149.98582088615086
320.0,149.9857764333028
321.0,149.98573198042837
322.0,149.9856875275276
323.0,149.9856430746005
324.0,149.98559862164703
325.0,149.9855541686672
326.0,149.985509715661
327.0,149.98546526262848
328.0,149.9854208095696
329.0,149.98537635648438
330.0,149.9853319033728
331.0,149.9852874502349
332.0,149.98524299707063
333.0,149.98519854388
334.0,149.985154090663
335.0,149.98510963741967
336.0,149.98506518415
337.0,149.98502073085396
338.0,149.9849762775316
339.0,149.98493182418287
340.0,149.9848873708078
341.0,149.98484291740635
342.0,149.98479846397856
343.0,149.98475401052443
344.0,149.98470955704394
345.0,149.9846651035371
346.0,149.98462065000393
347.0,149.9845761964444
348.0,149.98453174285854
349.0,149.9844872892463
350.0,149.9844428356077
351.0,149.98439838194275
352.0,149.98435392825147
353.0,149.98430947453383
354.0,149.98426502078985
355.0,149.9842205670195
356.0,149.9841761132228
357.0,149.98413165939974
358.0,149.98408720555034
359.0,149.9840427516746
360.0,149.9839982977725
361.0,149.98395384384406
362.0,149.98390938988925
363.0,149.9838649359081
364.0,149.98382048190058
365.0,149.98377602786672
366.0,149.98373157380652
367.0,149.98368711971997
368.0,149.98364266560705
369.0,149.98359821146778
370.0,149.98355375730216
371.0,149.9835093031102
372.0,149.98346484889188
373.0,149.9834203946472
374.0,149.98337594037616
375.0,149.98333148607878
376.0,149.98328703175505
377.0,149.98324257740498
378.0,149.98319812302856
379.0,149.98315366862576
380.0,149.98310921419662
381.0,149.98306475974113
382.0,149.9830203052593
383.0,149.9829758507511
384.0,149.98293139621654
385.0,149.98288694165564
386.0,149.98284248706838
387.0,149.98279803245478
388.0,149.98275357781483
389.0,149.9827091231485
390.0,149.98266466845584
391.0,149.98262021373682
392.0,149.98257575899146
393.0,149.98253130421975
394.0,149.98248684942166
395.0,149.98244239459723
396.0,149.98239793974645
397.0,149.98235348486932
398.0,149.98230902996585
399.0,149.982264575036
400.0,149.9822201200798
401.0,149.98217566509726
402.0,149.98213121008837
403.0,149.98208675505313
404.0,149.98204229999152
405.0,149.98199784490356
406.0,149.98195338978925
407.0,149.9819089346486
408.0,149.98186447948157
409.0,149.9818200242882
410.0,149.98177556906847
411.0,149.9817311138224
412.0,149.98168665855
413.0,149.9816422032512
414.0,149.98159774792606
415.0,149.98155329257457
416.0,149.98150883719674
417.0,149.98146438179253
418.0,149.98141992636198
419.0,149.98137547090508
420.0,149.98133101542183
421.0,149.9812865599122
422.0,149.98124210437624
423.0,149.98119764881392
424.0,149.98115319322525
425.0,149.9811087376102
426.0,149.98106428196883
427.0,149.9810198263011
428.0,149.980975370607
